@relation coref
@attribute acronym_first REAL
@attribute token_inbetween REAL
@attribute extend_pos_match REAL
@attribute extend_simple_pos_match REAL
@attribute class {'yes', 'no'}
@data
0.0,0.0,0.0,0.0,yes
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,yes
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,1.0,1.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,yes
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,yes
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,1.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,1.0,0.0,no
0.0,0.0,0.0,0.0,yes
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,yes
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,yes
0.0,0.0,1.0,0.0,no
0.0,0.0,0.0,0.0,yes
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,yes
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,1.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,1.0,0.0,yes
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,1.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,1.0,1.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,1.0,1.0,yes
0.0,0.0,0.0,0.0,no
0.0,0.0,1.0,1.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,1.0,1.0,yes
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,1.0,0.0,no
0.0,0.0,1.0,0.0,yes
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,1.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,1.0,1.0,yes
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,1.0,1.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,1.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,1.0,1.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,1.0,0.0,yes
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,1.0,1.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,yes
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,yes
0.0,0.0,0.0,0.0,no
0.0,0.0,1.0,1.0,no
0.0,0.0,0.0,0.0,no
