@relation coref
@attribute string_match REAL
@attribute token_match REAL
@attribute entity_type_match REAL
@attribute pos_match REAL
@attribute number_match REAL
@attribute simple_pos_match REAL
@attribute appositives REAL
@attribute predicate_nominative REAL
@attribute relative_pronoun REAL
@attribute class {'yes', 'no'}
@data
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,yes
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,yes
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,yes
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,no
0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,yes
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,yes
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,yes
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,yes
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,yes
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,no
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,no
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,yes
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,no
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,yes
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,no
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,yes
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,no
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,yes
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,no
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,no
0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,no
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,no
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,yes
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,no
